Anio,Periodo,Vehiculo,UnidadesVendidas,MontoTotal,Creditos
2025,3,Toyota Corolla,54,972000,194400
2025,3,Chevrolet Aveo,41,574000,114800
2025,3,Kia Rio,36,504000,100800
2025,3,Hyundai Accent,46,644000,128800
2025,3,Nissan Sentra,31,527000,105400
2025,4,Toyota Corolla,68,1224000,244800
2025,4,Chevrolet Aveo,52,728000,145600
2025,4,Kia Rio,45,630000,126000
2025,4,Hyundai Accent,57,798000,159600
2025,4,Nissan Sentra,40,680000,136000
2026,1,Toyota Corolla,60,1080000,216000
2026,1,Chevrolet Aveo,46,644000,128800
2026,1,Kia Rio,41,574000,114800
2026,1,Hyundai Accent,50,700000,140000
2026,1,Nissan Sentra,35,595000,119000
2026,2,Toyota Corolla,66,1188000,237600
2026,2,Chevrolet Aveo,51,714000,142800
2026,2,Kia Rio,44,616000,123200
2026,2,Hyundai Accent,56,784000,156800
2026,2,Nissan Sentra,39,663000,132600
2026,3,Toyota Corolla,57,1026000,205200
2026,3,Chevrolet Aveo,43,602000,120400
2026,3,Kia Rio,38,532000,106400
2026,3,Hyundai Accent,48,672000,134400
2026,3,Nissan Sentra,33,561000,112200
2026,4,Toyota Corolla,70,1260000,252000
2026,4,Chevrolet Aveo,54,756000,151200
2026,4,Kia Rio,47,658000,131600
2026,4,Hyundai Accent,59,826000,165200
2026,4,Nissan Sentra,42,714000,142800
